ESTUDIANTE,PERIODO,PROMEDIO_GENERAL,PEOR_PROMEDIO,ASISTENCIA_PROMEDIO,MAX_INTENTOS,MATERIAS_REPROBADAS,TOTAL_MATERIAS,TASA_REPROBACION,CATEGORIA,PUNTOS_DESERTOR,CATEGORIA_NUM
Estudiante 212,2024 - 2025 CI,8.03,7.17,97.20,1,0,5,0.00,BAJO,0,0
Estudiante 212,2024 - 2025 CII,8.59,7.85,95.50,1,0,4,0.00,BAJO,0,0
Estudiante 213,2023 - 2024 CII,8.34,7.37,100.00,1,0,7,0.00,BAJO,0,0
Estudiante 213,2024 - 2025 CI,7.86,6.09,98.43,1,1,7,0.14,BAJO,0,0
Estudiante 213,2024 - 2025 CII,8.68,7.82,99.00,1,0,4,0.00,BAJO,0,0
Estudiante 214,2024 - 2025 CII,9.75,9.75,100.00,1,0,1,0.00,BAJO,0,0
Estudiante 215,2024 - 2025 CII,8.09,8.09,100.00,1,0,1,0.00,BAJO,0,0
Estudiante 216,2024 - 2025 CII,4.43,4.43,52.00,1,1,1,1.00,ALTO,1,2
Estudiante 217,2024 - 2025 CII,8.55,8.55,90.00,1,0,1,0.00,BAJO,0,0
Estudiante 218,2024 - 2025 CII,4.31,4.31,54.00,1,1,1,1.00,ALTO,1,2
Estudiante 219,2024 - 2025 CII,7.02,7.02,78.00,2,0,1,0.00,ALTO,0,2
Estudiante 22,2024 - 2025 CII,9.29,8.61,99.57,1,0,7,0.00,BAJO,0,0
Estudiante 220,2024 - 2025 CII,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 221,2024 - 2025 CII,8.60,8.60,88.00,1,0,1,0.00,BAJO,0,0
Estudiante 222,2024 - 2025 CII,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 223,2024 - 2025 CII,6.08,6.08,78.00,2,1,1,1.00,ALTO,1,2
Estudiante 224,2024 - 2025 CII,8.32,8.32,90.00,1,0,1,0.00,BAJO,0,0
Estudiante 225,2024 - 2025 CII,7.87,7.87,93.00,1,0,1,0.00,BAJO,0,0
Estudiante 226,2024 - 2025 CII,2.69,2.69,28.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 227,2024 - 2025 CII,7.06,7.06,72.00,1,0,1,0.00,MEDIO,0,1
Estudiante 228,2024 - 2025 CI,7.73,7.73,96.00,1,0,1,0.00,BAJO,0,0
Estudiante 228,2024 - 2025 CII,7.85,7.85,82.00,1,0,1,0.00,BAJO,0,0
Estudiante 229,2024 - 2025 CII,8.91,8.91,82.00,1,0,1,0.00,BAJO,0,0
Estudiante 23,2024 - 2025 CII,9.49,8.37,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 230,2024 - 2025 CII,7.98,7.98,90.00,1,0,1,0.00,BAJO,0,0
Estudiante 231,2024 - 2025 CII,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 232,2024 - 2025 CII,8.40,8.40,93.00,1,0,1,0.00,BAJO,0,0
Estudiante 233,2024 - 2025 CII,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 234,2024 - 2025 CII,8.24,8.24,88.00,1,0,1,0.00,BAJO,0,0
Estudiante 235,2024 - 2025 CI,8.67,8.67,96.00,1,0,1,0.00,BAJO,0,0
Estudiante 235,2024 - 2025 CII,9.01,9.01,100.00,1,0,1,0.00,BAJO,0,0
Estudiante 236,2024 - 2025 CII,8.92,8.92,97.00,3,0,1,0.00,ALTO,0,2
Estudiante 237,2024 - 2025 CII,8.35,8.35,85.00,1,0,1,0.00,BAJO,0,0
Estudiante 238,2024 - 2025 CII,8.14,8.14,100.00,1,0,1,0.00,BAJO,0,0
Estudiante 239,2024 - 2025 CII,6.71,6.71,90.00,1,1,1,1.00,ALTO,1,2
Estudiante 24,2024 - 2025 CII,9.03,8.03,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 240,2024 - 2025 CII,7.26,7.26,100.00,1,0,1,0.00,MEDIO,0,1
Estudiante 241,2024 - 2025 CII,8.02,8.02,96.00,1,0,1,0.00,BAJO,0,0
Estudiante 242,2024 - 2025 CII,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 243,2024 - 2025 CII,3.11,3.11,76.00,1,1,1,1.00,DESERTOR,2,3
Estudiante 244,2024 - 2025 CII,7.68,7.68,94.00,2,0,1,0.00,ALTO,0,2
Estudiante 245,2024 - 2025 CII,7.06,7.06,82.00,2,0,1,0.00,ALTO,0,2
Estudiante 246,2024 - 2025 CII,7.04,7.04,86.00,1,0,1,0.00,MEDIO,0,1
Estudiante 247,2024 - 2025 CII,7.82,7.82,72.00,1,0,1,0.00,MEDIO,0,1
Estudiante 248,2024 - 2025 CII,2.62,2.62,58.00,2,1,1,1.00,DESERTOR,2,3
Estudiante 249,2024 - 2025 CII,7.02,7.02,90.00,1,0,1,0.00,MEDIO,0,1
Estudiante 25,2024 - 2025 CII,9.14,8.21,98.86,1,0,7,0.00,BAJO,0,0
Estudiante 250,2024 - 2025 CII,3.04,3.04,68.00,1,1,1,1.00,DESERTOR,2,3
Estudiante 251,2024 - 2025 CII,0.00,0.00,0.00,2,1,1,1.00,DESERTOR,3,3
Estudiante 252,2024 - 2025 CII,8.62,8.62,94.00,1,0,1,0.00,BAJO,0,0
Estudiante 253,2024 - 2025 CII,8.69,8.69,90.00,2,0,1,0.00,ALTO,0,2
Estudiante 254,2024 - 2025 CI,0.31,0.00,8.57,1,7,7,1.00,DESERTOR,3,3
Estudiante 255,2024 - 2025 CI,1.59,0.00,15.71,1,7,7,1.00,DESERTOR,3,3
Estudiante 256,2023 - 2024 CII,6.53,3.37,85.80,1,2,5,0.40,MEDIO,0,1
Estudiante 256,2024 - 2025 CI,1.10,0.00,21.50,2,4,4,1.00,DESERTOR,3,3
Estudiante 257,2023 - 2024 CII,6.57,3.34,93.43,1,3,7,0.43,MEDIO,0,1
Estudiante 257,2024 - 2025 CI,3.52,0.00,62.00,2,3,3,1.00,DESERTOR,2,3
Estudiante 258,2024 - 2025 CI,0.47,0.00,11.00,1,7,7,1.00,DESERTOR,3,3
Estudiante 259,2024 - 2025 CI,0.60,0.00,13.43,1,7,7,1.00,DESERTOR,3,3
Estudiante 26,2024 - 2025 CII,5.00,3.82,94.75,1,4,4,1.00,ALTO,1,2
Estudiante 260,2024 - 2025 CI,3.96,0.00,49.83,1,5,6,0.83,DESERTOR,2,3
Estudiante 261,2023 - 2024 CII,4.67,1.47,85.71,1,7,7,1.00,ALTO,1,2
Estudiante 261,2024 - 2025 CI,3.51,0.00,72.00,2,7,7,1.00,DESERTOR,2,3
Estudiante 262,2023 - 2024 CII,2.91,0.00,68.14,1,7,7,1.00,DESERTOR,2,3
Estudiante 262,2024 - 2025 CI,1.67,0.00,43.57,2,7,7,1.00,DESERTOR,2,3
Estudiante 263,2024 - 2025 CI,8.17,6.39,94.57,1,1,7,0.14,BAJO,0,0
Estudiante 264,2023 - 2024 CII,6.67,3.62,90.86,1,3,7,0.43,MEDIO,0,1
Estudiante 264,2024 - 2025 CI,0.18,0.00,22.33,2,6,6,1.00,DESERTOR,3,3
Estudiante 265,2024 - 2025 CI,4.48,0.00,59.14,1,6,7,0.86,ALTO,1,2
Estudiante 266,2023 - 2024 CII,6.12,4.74,94.00,1,6,7,0.86,ALTO,1,2
Estudiante 266,2024 - 2025 CI,4.30,2.17,77.00,2,7,7,1.00,ALTO,1,2
Estudiante 267,2023 - 2024 CII,7.64,5.51,95.29,1,2,7,0.29,MEDIO,0,1
Estudiante 267,2024 - 2025 CI,1.49,0.00,20.20,2,5,5,1.00,DESERTOR,3,3
Estudiante 268,2024 - 2025 CI,2.81,0.00,41.57,1,7,7,1.00,DESERTOR,2,3
Estudiante 269,2024 - 2025 CI,2.50,0.00,32.43,1,7,7,1.00,DESERTOR,3,3
Estudiante 27,2024 - 2025 CII,8.95,7.91,97.86,1,0,7,0.00,BAJO,0,0
Estudiante 270,2024 - 2025 CI,0.80,0.00,8.83,1,6,6,1.00,DESERTOR,3,3
Estudiante 271,2024 - 2025 CI,9.33,8.65,100.00,1,0,7,0.00,BAJO,0,0
Estudiante 272,2024 - 2025 CI,2.68,0.00,48.00,1,3,3,1.00,DESERTOR,2,3
Estudiante 273,2023 - 2024 CII,7.32,5.29,95.29,1,2,7,0.29,MEDIO,0,1
Estudiante 273,2024 - 2025 CI,0.45,0.00,21.83,2,6,6,1.00,DESERTOR,3,3
Estudiante 274,2023 - 2024 CII,7.91,6.13,98.57,1,1,7,0.14,BAJO,0,0
Estudiante 274,2024 - 2025 CI,4.66,4.66,63.00,2,1,1,1.00,ALTO,1,2
Estudiante 275,2024 - 2025 CI,8.45,8.45,93.00,1,0,1,0.00,BAJO,0,0
Estudiante 276,2024 - 2025 CI,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 277,2024 - 2025 CI,6.90,6.90,90.00,1,1,1,1.00,ALTO,1,2
Estudiante 278,2024 - 2025 CI,7.39,7.39,100.00,1,0,1,0.00,MEDIO,0,1
Estudiante 279,2024 - 2025 CI,7.77,7.77,94.00,1,0,1,0.00,BAJO,0,0
Estudiante 28,2024 - 2025 CII,7.67,5.96,96.33,1,1,6,0.17,BAJO,0,0
Estudiante 280,2024 - 2025 CI,6.30,6.30,96.00,1,1,1,1.00,ALTO,1,2
Estudiante 281,2024 - 2025 CI,6.92,6.92,96.00,1,1,1,1.00,ALTO,1,2
Estudiante 282,2024 - 2025 CI,2.92,2.92,67.00,1,1,1,1.00,DESERTOR,2,3
Estudiante 283,2024 - 2025 CI,7.74,7.74,94.00,1,0,1,0.00,BAJO,0,0
Estudiante 284,2024 - 2025 CI,7.99,7.99,100.00,1,0,1,0.00,BAJO,0,0
Estudiante 285,2024 - 2025 CI,5.45,5.45,75.00,1,1,1,1.00,ALTO,1,2
Estudiante 286,2024 - 2025 CI,0.97,0.97,68.00,1,1,1,1.00,DESERTOR,2,3
Estudiante 287,2024 - 2025 CI,7.29,7.29,90.00,1,0,1,0.00,MEDIO,0,1
Estudiante 288,2023 - 2024 CII,5.37,5.37,86.00,1,1,1,1.00,ALTO,1,2
Estudiante 288,2024 - 2025 CI,6.50,6.50,90.00,2,1,1,1.00,ALTO,1,2
Estudiante 289,2024 - 2025 CI,8.03,8.03,100.00,1,0,1,0.00,BAJO,0,0
Estudiante 29,2024 - 2025 CII,8.74,7.39,97.43,1,0,7,0.00,BAJO,0,0
Estudiante 290,2024 - 2025 CI,3.64,3.64,67.00,1,1,1,1.00,DESERTOR,2,3
Estudiante 291,2024 - 2025 CI,7.79,7.79,87.00,1,0,1,0.00,BAJO,0,0
Estudiante 292,2024 - 2025 CI,7.32,7.32,78.00,1,0,1,0.00,MEDIO,0,1
Estudiante 293,2024 - 2025 CI,4.22,4.22,82.00,2,1,1,1.00,ALTO,1,2
Estudiante 294,2024 - 2025 CI,1.52,1.52,67.00,1,1,1,1.00,DESERTOR,2,3
Estudiante 295,2024 - 2025 CI,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 296,2023 - 2024 CII,7.96,6.58,96.57,1,1,7,0.14,BAJO,0,0
Estudiante 296,2024 - 2025 CI,7.57,6.81,98.80,1,1,5,0.20,BAJO,0,0
Estudiante 297,2023 - 2024 CII,9.46,8.93,100.00,1,0,7,0.00,BAJO,0,0
Estudiante 297,2024 - 2025 CI,8.77,8.07,98.71,1,0,7,0.00,BAJO,0,0
Estudiante 298,2023 - 2024 CII,8.19,7.03,93.43,1,0,7,0.00,BAJO,0,0
Estudiante 298,2024 - 2025 CI,0.85,0.00,19.29,1,7,7,1.00,DESERTOR,3,3
Estudiante 299,2024 - 2025 CI,4.01,4.01,82.00,1,1,1,1.00,ALTO,1,2
Estudiante 3,2024 - 2025 CII,9.15,8.31,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 30,2024 - 2025 CII,8.77,7.09,98.29,1,0,7,0.00,BAJO,0,0
Estudiante 300,2024 - 2025 CI,3.22,3.22,89.00,1,1,1,1.00,DESERTOR,2,3
Estudiante 301,2024 - 2025 CI,0.00,0.00,0.00,2,1,1,1.00,DESERTOR,3,3
Estudiante 302,2024 - 2025 CI,5.55,5.55,96.00,1,1,1,1.00,ALTO,1,2
Estudiante 303,2024 - 2025 CI,5.71,5.71,96.00,2,1,1,1.00,ALTO,1,2
Estudiante 304,2024 - 2025 CI,0.00,0.00,0.00,2,1,1,1.00,DESERTOR,3,3
Estudiante 305,2024 - 2025 CI,7.19,7.19,100.00,1,0,1,0.00,MEDIO,0,1
Estudiante 306,2024 - 2025 CI,7.83,7.83,96.00,1,0,1,0.00,BAJO,0,0
Estudiante 307,2024 - 2025 CI,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 308,2024 - 2025 CI,5.06,5.06,67.00,2,1,1,1.00,ALTO,1,2
Estudiante 309,2024 - 2025 CI,7.51,7.51,100.00,1,0,1,0.00,BAJO,0,0
Estudiante 31,2024 - 2025 CII,0.00,0.00,0.00,1,7,7,1.00,DESERTOR,3,3
Estudiante 310,2024 - 2025 CI,7.49,7.49,92.00,1,0,1,0.00,MEDIO,0,1
Estudiante 311,2024 - 2025 CI,0.00,0.00,0.00,2,1,1,1.00,DESERTOR,3,3
Estudiante 312,2024 - 2025 CI,6.70,6.70,86.00,1,1,1,1.00,ALTO,1,2
Estudiante 313,2024 - 2025 CI,6.76,6.76,100.00,1,1,1,1.00,ALTO,1,2
Estudiante 314,2024 - 2025 CI,8.30,8.30,100.00,1,0,1,0.00,BAJO,0,0
Estudiante 315,2024 - 2025 CI,7.61,7.61,96.00,1,0,1,0.00,BAJO,0,0
Estudiante 316,2024 - 2025 CI,7.71,7.71,96.00,1,0,1,0.00,BAJO,0,0
Estudiante 317,2024 - 2025 CI,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 318,2024 - 2025 CI,7.96,7.96,96.00,1,0,1,0.00,BAJO,0,0
Estudiante 319,2024 - 2025 CI,6.08,6.08,96.00,1,1,1,1.00,ALTO,1,2
Estudiante 32,2024 - 2025 CII,8.33,7.00,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 320,2024 - 2025 CI,7.85,7.85,96.00,1,0,1,0.00,BAJO,0,0
Estudiante 321,2024 - 2025 CI,7.02,7.02,96.00,1,0,1,0.00,MEDIO,0,1
Estudiante 322,2024 - 2025 CI,7.38,7.38,100.00,1,0,1,0.00,MEDIO,0,1
Estudiante 323,2024 - 2025 CI,0.21,0.21,0.00,2,1,1,1.00,DESERTOR,3,3
Estudiante 33,2024 - 2025 CII,8.01,7.01,96.17,1,0,6,0.00,BAJO,0,0
Estudiante 34,2024 - 2025 CII,2.22,0.00,43.71,1,7,7,1.00,DESERTOR,2,3
Estudiante 35,2024 - 2025 CII,8.65,7.27,98.29,1,0,7,0.00,BAJO,0,0
Estudiante 36,2024 - 2025 CII,8.73,6.24,95.86,1,1,7,0.14,BAJO,0,0
Estudiante 37,2024 - 2025 CII,8.80,7.13,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 38,2024 - 2025 CII,5.93,1.65,91.57,1,3,7,0.43,ALTO,0,2
Estudiante 382,2023 - 2024 CII,1.20,0.00,23.71,1,7,7,1.00,DESERTOR,3,3
Estudiante 39,2024 - 2025 CII,6.99,4.86,93.67,1,2,6,0.33,MEDIO,0,1
Estudiante 4,2024 - 2025 CII,8.80,7.06,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 40,2024 - 2025 CII,8.49,7.14,99.57,1,0,7,0.00,BAJO,0,0
Estudiante 41,2024 - 2025 CII,8.70,7.99,98.00,1,0,7,0.00,BAJO,0,0
Estudiante 42,2024 - 2025 CII,7.47,4.92,97.86,1,2,7,0.29,MEDIO,0,1
Estudiante 43,2024 - 2025 CII,8.67,7.00,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 44,2024 - 2025 CII,8.59,7.31,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 444,2023 - 2024 CII,1.73,0.00,47.57,1,7,7,1.00,DESERTOR,2,3
Estudiante 445,2023 - 2024 CII,1.02,0.00,10.67,1,6,6,1.00,DESERTOR,3,3
Estudiante 446,2023 - 2024 CII,0.00,0.00,8.00,1,6,6,1.00,DESERTOR,3,3
Estudiante 447,2023 - 2024 CII,1.87,0.00,12.57,1,7,7,1.00,DESERTOR,3,3
Estudiante 448,2023 - 2024 CII,3.28,0.00,40.43,1,7,7,1.00,DESERTOR,2,3
Estudiante 449,2023 - 2024 CII,0.45,0.00,0.00,1,7,7,1.00,DESERTOR,3,3
Estudiante 45,2024 - 2025 CII,8.76,7.00,97.86,1,0,7,0.00,BAJO,0,0
Estudiante 450,2023 - 2024 CII,0.24,0.00,0.00,1,7,7,1.00,DESERTOR,3,3
Estudiante 451,2023 - 2024 CII,3.25,0.00,62.00,1,6,6,1.00,DESERTOR,2,3
Estudiante 452,2023 - 2024 CII,1.90,0.00,12.57,1,7,7,1.00,DESERTOR,3,3
Estudiante 453,2023 - 2024 CII,6.75,4.01,96.17,1,3,6,0.50,MEDIO,0,1
Estudiante 454,2023 - 2024 CII,0.78,0.00,0.00,1,3,3,1.00,DESERTOR,3,3
Estudiante 455,2023 - 2024 CII,3.41,0.00,37.25,1,3,4,0.75,DESERTOR,2,3
Estudiante 456,2023 - 2024 CII,8.76,8.76,100.00,1,0,1,0.00,BAJO,0,0
Estudiante 457,2023 - 2024 CII,9.40,9.40,100.00,1,0,1,0.00,BAJO,0,0
Estudiante 458,2023 - 2024 CII,8.76,8.76,96.00,1,0,1,0.00,BAJO,0,0
Estudiante 459,2023 - 2024 CII,9.13,9.13,100.00,1,0,1,0.00,BAJO,0,0
Estudiante 46,2024 - 2025 CII,7.37,2.84,92.86,1,1,7,0.14,MEDIO,0,1
Estudiante 460,2023 - 2024 CII,6.43,6.43,96.00,1,1,1,1.00,ALTO,1,2
Estudiante 461,2023 - 2024 CII,7.93,7.93,96.00,1,0,1,0.00,BAJO,0,0
Estudiante 462,2023 - 2024 CII,9.44,9.44,100.00,1,0,1,0.00,BAJO,0,0
Estudiante 463,2023 - 2024 CII,8.50,8.50,100.00,1,0,1,0.00,BAJO,0,0
Estudiante 464,2023 - 2024 CII,7.61,7.61,93.00,1,0,1,0.00,BAJO,0,0
Estudiante 465,2023 - 2024 CII,2.74,2.74,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 466,2023 - 2024 CII,8.87,8.87,96.00,1,0,1,0.00,BAJO,0,0
Estudiante 467,2023 - 2024 CII,8.16,8.16,100.00,1,0,1,0.00,BAJO,0,0
Estudiante 468,2023 - 2024 CII,8.77,8.77,100.00,1,0,1,0.00,BAJO,0,0
Estudiante 469,2023 - 2024 CII,7.54,7.54,76.00,1,0,1,0.00,MEDIO,0,1
Estudiante 47,2024 - 2025 CII,8.29,7.21,99.57,1,0,7,0.00,BAJO,0,0
Estudiante 470,2023 - 2024 CII,7.64,7.64,94.00,1,0,1,0.00,BAJO,0,0
Estudiante 471,2023 - 2024 CII,6.33,6.33,94.00,1,1,1,1.00,ALTO,1,2
Estudiante 48,2024 - 2025 CII,0.00,0.00,0.00,1,6,6,1.00,DESERTOR,3,3
Estudiante 49,2024 - 2025 CII,8.94,7.49,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 5,2024 - 2025 CII,7.09,5.28,97.29,1,3,7,0.43,MEDIO,0,1
Estudiante 50,2024 - 2025 CII,8.27,5.75,98.43,1,1,7,0.14,BAJO,0,0
Estudiante 51,2024 - 2025 CII,8.35,7.00,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 52,2024 - 2025 CII,3.29,0.00,50.00,1,6,7,0.86,DESERTOR,2,3
Estudiante 53,2024 - 2025 CII,7.25,2.28,90.29,1,1,7,0.14,MEDIO,0,1
Estudiante 54,2024 - 2025 CII,2.05,0.00,66.00,1,7,7,1.00,DESERTOR,2,3
Estudiante 55,2024 - 2025 CII,8.37,6.32,96.43,1,1,7,0.14,BAJO,0,0
Estudiante 56,2024 - 2025 CII,7.85,3.72,98.86,1,1,7,0.14,BAJO,0,0
Estudiante 57,2023 - 2024 CII,6.51,2.38,93.43,1,3,7,0.43,MEDIO,0,1
Estudiante 57,2024 - 2025 CI,0.80,0.00,9.60,2,5,5,1.00,DESERTOR,3,3
Estudiante 57,2024 - 2025 CII,7.44,7.00,95.50,3,0,4,0.00,ALTO,0,2
Estudiante 58,2024 - 2025 CII,8.60,7.45,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 59,2024 - 2025 CII,7.61,6.38,93.29,1,1,7,0.14,BAJO,0,0
Estudiante 6,2024 - 2025 CII,9.25,8.47,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 60,2023 - 2024 CII,6.30,1.82,96.00,1,3,7,0.43,MEDIO,0,1
Estudiante 60,2024 - 2025 CI,5.49,0.00,63.75,2,2,4,0.50,ALTO,0,2
Estudiante 60,2024 - 2025 CII,6.65,0.00,76.33,3,1,6,0.17,ALTO,0,2
Estudiante 61,2024 - 2025 CII,7.95,5.63,94.57,1,1,7,0.14,BAJO,0,0
Estudiante 62,2024 - 2025 CII,0.00,0.00,0.00,1,6,6,1.00,DESERTOR,3,3
Estudiante 63,2024 - 2025 CII,1.75,0.00,30.57,1,7,7,1.00,DESERTOR,3,3
Estudiante 64,2024 - 2025 CII,8.64,7.00,93.29,1,0,7,0.00,BAJO,0,0
Estudiante 65,2024 - 2025 CII,8.51,7.06,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 66,2024 - 2025 CII,8.46,7.62,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 67,2024 - 2025 CII,4.25,0.00,66.80,1,3,5,0.60,ALTO,0,2
Estudiante 68,2024 - 2025 CII,8.17,5.61,98.43,1,1,7,0.14,BAJO,0,0
Estudiante 69,2024 - 2025 CII,5.93,2.08,93.86,1,5,7,0.71,ALTO,0,2
Estudiante 7,2024 - 2025 CII,7.78,5.58,97.43,1,2,7,0.29,MEDIO,0,1
Estudiante 70,2024 - 2025 CII,7.70,4.20,96.14,1,2,7,0.29,MEDIO,0,1
Estudiante 71,2024 - 2025 CII,9.05,7.47,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 72,2024 - 2025 CII,8.89,7.47,97.86,1,0,7,0.00,BAJO,0,0
Estudiante 73,2024 - 2025 CII,9.21,8.05,99.43,1,0,7,0.00,BAJO,0,0
Estudiante 74,2024 - 2025 CII,8.19,7.14,97.86,1,0,7,0.00,BAJO,0,0
Estudiante 75,2024 - 2025 CII,8.15,7.27,97.43,1,0,7,0.00,BAJO,0,0
Estudiante 76,2024 - 2025 CII,6.33,0.00,83.71,1,2,7,0.29,MEDIO,0,1
Estudiante 77,2024 - 2025 CII,0.00,0.00,0.00,1,7,7,1.00,DESERTOR,3,3
Estudiante 78,2024 - 2025 CII,0.48,0.00,14.29,1,7,7,1.00,DESERTOR,3,3
Estudiante 79,2024 - 2025 CII,0.00,0.00,0.00,1,5,5,1.00,DESERTOR,3,3
Estudiante 8,2024 - 2025 CII,8.42,7.14,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 80,2024 - 2025 CI,8.26,6.12,94.29,1,1,7,0.14,BAJO,0,0
Estudiante 80,2024 - 2025 CII,8.92,8.21,93.50,2,0,4,0.00,ALTO,0,2
Estudiante 81,2023 - 2024 CII,7.73,5.68,95.14,1,1,7,0.14,BAJO,0,0
Estudiante 81,2024 - 2025 CI,6.27,0.00,78.33,2,2,6,0.33,ALTO,0,2
Estudiante 81,2024 - 2025 CII,8.99,7.17,94.00,3,0,4,0.00,ALTO,0,2
Estudiante 82,2024 - 2025 CI,7.70,6.17,99.00,1,2,7,0.29,MEDIO,0,1
Estudiante 82,2024 - 2025 CII,7.30,5.74,96.75,2,2,4,0.50,ALTO,0,2
Estudiante 83,2023 - 2024 CII,7.85,6.11,96.00,1,1,7,0.14,BAJO,0,0
Estudiante 83,2024 - 2025 CI,5.84,3.33,91.17,2,3,6,0.50,ALTO,0,2
Estudiante 83,2024 - 2025 CII,7.30,7.01,89.50,3,0,4,0.00,ALTO,0,2
Estudiante 84,2023 - 2024 CII,7.50,5.92,89.86,1,2,7,0.29,MEDIO,0,1
Estudiante 84,2024 - 2025 CI,7.75,7.00,91.25,1,0,4,0.00,BAJO,0,0
Estudiante 84,2024 - 2025 CII,8.74,7.15,95.40,2,0,5,0.00,ALTO,0,2
Estudiante 85,2023 - 2024 CII,7.96,6.24,93.00,1,1,5,0.20,BAJO,0,0
Estudiante 85,2024 - 2025 CI,7.87,7.21,94.80,1,0,5,0.00,BAJO,0,0
Estudiante 85,2024 - 2025 CII,8.57,8.07,92.75,2,0,4,0.00,ALTO,0,2
Estudiante 86,2024 - 2025 CI,7.04,2.02,83.29,1,1,7,0.14,MEDIO,0,1
Estudiante 86,2024 - 2025 CII,0.00,0.00,0.00,2,3,3,1.00,DESERTOR,3,3
Estudiante 87,2024 - 2025 CII,7.80,7.80,97.00,1,0,1,0.00,BAJO,0,0
Estudiante 88,2024 - 2025 CI,5.63,3.40,86.57,1,6,7,0.86,ALTO,1,2
Estudiante 88,2024 - 2025 CII,7.75,6.33,98.00,2,1,2,0.50,ALTO,0,2
Estudiante 89,2024 - 2025 CII,8.99,8.99,94.00,1,0,1,0.00,BAJO,0,0
Estudiante 9,2024 - 2025 CII,0.00,0.00,0.00,1,7,7,1.00,DESERTOR,3,3
Estudiante 90,2024 - 2025 CII,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 91,2024 - 2025 CII,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 92,2024 - 2025 CII,4.72,4.72,90.00,1,1,1,1.00,ALTO,1,2
Estudiante 93,2024 - 2025 CII,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 94,2024 - 2025 CII,3.79,3.79,50.00,1,1,1,1.00,DESERTOR,2,3
Estudiante 95,2024 - 2025 CII,0.00,0.00,0.00,2,1,1,1.00,DESERTOR,3,3
Estudiante 96,2024 - 2025 CII,7.00,7.00,100.00,1,0,1,0.00,MEDIO,0,1
Estudiante 97,2024 - 2025 CII,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 98,2024 - 2025 CII,0.00,0.00,0.00,2,1,1,1.00,DESERTOR,3,3
Estudiante 99,2024 - 2025 CII,9.50,9.50,100.00,1,0,1,0.00,BAJO,0,0
